x,z,Gamma000,Gamma001,Gamma002
-251.969,-251.969,-0.00163937,-0.0022866,0.00828794
-251.969,-247.937,0.000277992,-0.00251386,0.0173404
-251.969,-243.906,-0.000611713,-0.00257965,0.0179997
-251.969,-239.874,-5.72231e-05,-0.00269694,0.0184323
-251.969,-235.843,-0.000140278,-0.00276185,0.0182058
-251.969,-231.811,2.26504e-05,-0.00284627,0.0187985
-251.969,-227.78,0.000145515,-0.00293079,0.0191343
-251.969,-223.748,0.000280381,-0.0030176,0.0195007
-251.969,-219.717,0.000422204,-0.00310641,0.0198638
-251.969,-215.685,0.000571368,-0.0031972,0.0202242
-251.969,-211.654,0.000728033,-0.00328995,0.0205807
-251.969,-207.622,0.000892346,-0.00338462,0.0209325
-251.969,-203.591,0.00106444,-0.00348117,0.0212784
-251.969,-199.559,0.00124443,-0.00357953,0.0216173
-251.969,-195.528,0.00143241,-0.00367964,0.021948
-251.969,-191.496,0.00162846,-0.00378143,0.0222691
-251.969,-187.465,0.00183263,-0.00388481,0.0225793
-251.969,-183.433,0.00204497,-0.00398969,0.0228771
-251.969,-179.402,0.00226546,-0.00409595,0.0231611
-251.969,-175.37,0.00249409,-0.00420348,0.0234297
-251.969,-171.339,0.00273079,-0.00431215,0.0236813
-251.969,-167.307,0.0029755,-0.00442181,0.0239142
-251.969,-163.276,0.00322807,-0.00453231,0.0241265
-251.969,-159.244,0.00348837,-0.00464348,0.0243166
-251.969,-155.213,0.00375619,-0.00475516,0.0244826
-251.969,-151.181,0.00403131,-0.00486714,0.0246226
-251.969,-147.15,0.00431345,-0.00497924,0.0247347
-251.969,-143.118,0.00460231,-0.00509124,0.024817
-251.969,-139.087,0.00489753,-0.00520293,0.0248676
-251.969,-135.055,0.00519873,-0.00531409,0.0248844
-251.969,-131.024,0.00550547,-0.00542449,0.0248657
-251.969,-126.992,0.00581729,-0.00553388,0.0248095
-251.969,-122.961,0.00613367,-0.00564205,0.0247141
-251.969,-118.929,0.00645407,-0.00574874,0.0245775
-251.969,-114.898,0.00677789,-0.00585372,0.0243981
-251.969,-110.866,0.00710453,-0.00595675,0.0241744
-251.969,-106.835,0.00743333,-0.00605759,0.0239047
-251.969,-102.803,0.00776361,-0.00615603,0.0235878
-251.969,-98.7717,0.00809465,-0.00625183,0.0232224
-251.969,-94.7402,0.00842573,-0.0063448,0.0228074
-251.969,-90.7087,0.00875609,-0.00643473,0.0223419
-251.969,-86.6772,0.00908494,-0.00652144,0.0218253
-251.969,-82.6457,0.00941151,-0.00660476,0.0212572
-251.969,-78.6142,0.00973498,-0.00668455,0.0206372
-251.969,-74.5827,0.0100545,-0.00676067,0.0199653
-251.969,-70.5512,0.0103694,-0.00683299,0.0192419
-251.969,-66.5197,0.0106786,-0.00690144,0.0184675
-251.969,-62.4882,0.0109815,-0.00696592,0.0176429
-251.969,-58.4567,0.0112772,-0.00702638,0.0167692
-251.969,-54.4252,0.0115648,-0.00708278,0.0158478
-251.969,-50.3937,0.0118436,-0.0071351,0.0148803
-251.969,-46.3622,0.0121126,-0.00718332,0.0138687
-251.969,-42.3307,0.0123712,-0.00722745,0.0128153
-251.969,-38.2992,0.0126185,-0.0072675,0.0117225
-251.969,-34.2677,0.0128537,-0.0073035,0.0105933
-251.969,-30.2362,0.013076,-0.00733547,0.00943055
-251.969,-26.2047,0.0132847,-0.00736346,0.00823762
-251.969,-22.1732,0.013479,-0.0073875,0.00701798
-251.969,-18.1417,0.0136582,-0.00740761,0.00577532
-251.969,-14.1102,0.0138216,-0.00742384,0.00451352
-251.969,-10.0787,0.0139685,-0.00743619,0.00323657
-251.969,-6.04724,0.0140984,-0.0074447,0.0019486
-251.969,-2.01575,0.0142105,-0.00744937,0.000653824
-251.969,2.01575,0.0143043,-0.0074502,-0.000643499
-251.969,6.04724,0.0143793,-0.00744718,-0.00193908
-251.969,10.0787,0.014435,-0.00744028,-0.00322863
-251.969,14.1102,0.0144711,-0.00742949,-0.00450792
-251.969,18.1417,0.0144872,-0.00741476,-0.00577278
-251.969,22.1732,0.0144831,-0.00739605,-0.00701915
-251.969,26.2047,0.0144585,-0.00737332,-0.0082431
-251.969,30.2362,0.0144135,-0.00734652,-0.00944086
-251.969,34.2677,0.0143479,-0.00731559,-0.0106088
-251.969,38.2992,0.0142619,-0.00728051,-0.0117437
-251.969,42.3307,0.0141556,-0.00724123,-0.0128423
-251.969,46.3622,0.0140293,-0.00719772,-0.0139017
-251.969,50.3937,0.0138835,-0.00714997,-0.0149194
