x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-256,-256,1.01546,0,0,0,1.01546,0,0,0,1.01546
-256,-251.969,1.01546,0,0,0,1.01546,0,0,0,1.01546
-256,-247.937,1.01545,0,0,0,1.01545,0,0,0,1.01545
-256,-243.906,1.01544,0,0,0,1.01544,0,0,0,1.01544
-256,-239.874,1.01542,0,0,0,1.01542,0,0,0,1.01542
-256,-235.843,1.0154,0,0,0,1.0154,0,0,0,1.0154
-256,-231.811,1.01538,0,0,0,1.01538,0,0,0,1.01538
-256,-227.78,1.01535,0,0,0,1.01535,0,0,0,1.01535
-256,-223.748,1.01532,0,0,0,1.01532,0,0,0,1.01532
-256,-219.717,1.01529,0,0,0,1.01529,0,0,0,1.01529
-256,-215.685,1.01525,0,0,0,1.01525,0,0,0,1.01525
-256,-211.654,1.01521,0,0,0,1.01521,0,0,0,1.01521
-256,-207.622,1.01516,0,0,0,1.01516,0,0,0,1.01516
-256,-203.591,1.01512,0,0,0,1.01512,0,0,0,1.01512
-256,-199.559,1.01507,0,0,0,1.01507,0,0,0,1.01507
-256,-195.528,1.01502,0,0,0,1.01502,0,0,0,1.01502
-256,-191.496,1.01496,0,0,0,1.01496,0,0,0,1.01496
-256,-187.465,1.0149,0,0,0,1.0149,0,0,0,1.0149
-256,-183.433,1.01484,0,0,0,1.01484,0,0,0,1.01484
-256,-179.402,1.01478,0,0,0,1.01478,0,0,0,1.01478
-256,-175.37,1.01471,0,0,0,1.01471,0,0,0,1.01471
-256,-171.339,1.01465,0,0,0,1.01465,0,0,0,1.01465
-256,-167.307,1.01458,0,0,0,1.01458,0,0,0,1.01458
-256,-163.276,1.0145,0,0,0,1.0145,0,0,0,1.0145
-256,-159.244,1.01443,0,0,0,1.01443,0,0,0,1.01443
-256,-155.213,1.01436,0,0,0,1.01436,0,0,0,1.01436
-256,-151.181,1.01428,0,0,0,1.01428,0,0,0,1.01428
-256,-147.15,1.0142,0,0,0,1.0142,0,0,0,1.0142
-256,-143.118,1.01412,0,0,0,1.01412,0,0,0,1.01412
-256,-139.087,1.01404,0,0,0,1.01404,0,0,0,1.01404
-256,-135.055,1.01395,0,0,0,1.01395,0,0,0,1.01395
-256,-131.024,1.01387,0,0,0,1.01387,0,0,0,1.01387
-256,-126.992,1.01378,0,0,0,1.01378,0,0,0,1.01378
-256,-122.961,1.0137,0,0,0,1.0137,0,0,0,1.0137
-256,-118.929,1.01361,0,0,0,1.01361,0,0,0,1.01361
-256,-114.898,1.01352,0,0,0,1.01352,0,0,0,1.01352
-256,-110.866,1.01343,0,0,0,1.01343,0,0,0,1.01343
-256,-106.835,1.01334,0,0,0,1.01334,0,0,0,1.01334
-256,-102.803,1.01325,0,0,0,1.01325,0,0,0,1.01325
-256,-98.7717,1.01316,0,0,0,1.01316,0,0,0,1.01316
-256,-94.7402,1.01307,0,0,0,1.01307,0,0,0,1.01307
-256,-90.7087,1.01298,0,0,0,1.01298,0,0,0,1.01298
-256,-86.6772,1.01289,0,0,0,1.01289,0,0,0,1.01289
-256,-82.6457,1.0128,0,0,0,1.0128,0,0,0,1.0128
-256,-78.6142,1.01271,0,0,0,1.01271,0,0,0,1.01271
-256,-74.5827,1.01261,0,0,0,1.01261,0,0,0,1.01261
-256,-70.5512,1.01252,0,0,0,1.01252,0,0,0,1.01252
-256,-66.5197,1.01243,0,0,0,1.01243,0,0,0,1.01243
-256,-62.4882,1.01234,0,0,0,1.01234,0,0,0,1.01234
-256,-58.4567,1.01225,0,0,0,1.01225,0,0,0,1.01225
-256,-54.4252,1.01216,0,0,0,1.01216,0,0,0,1.01216
-256,-50.3937,1.01206,0,0,0,1.01206,0,0,0,1.01206
-256,-46.3622,1.01197,0,0,0,1.01197,0,0,0,1.01197
-256,-42.3307,1.01188,0,0,0,1.01188,0,0,0,1.01188
-256,-38.2992,1.01179,0,0,0,1.01179,0,0,0,1.01179
-256,-34.2677,1.0117,0,0,0,1.0117,0,0,0,1.0117
-256,-30.2362,1.01161,0,0,0,1.01161,0,0,0,1.01161
-256,-26.2047,1.01153,0,0,0,1.01153,0,0,0,1.01153
-256,-22.1732,1.01144,0,0,0,1.01144,0,0,0,1.01144
-256,-18.1417,1.01135,0,0,0,1.01135,0,0,0,1.01135
-256,-14.1102,1.01126,0,0,0,1.01126,0,0,0,1.01126
-256,-10.0787,1.01118,0,0,0,1.01118,0,0,0,1.01118
-256,-6.04724,1.01109,0,0,0,1.01109,0,0,0,1.01109
-256,-2.01575,1.01101,0,0,0,1.01101,0,0,0,1.01101
-256,2.01575,1.01092,0,0,0,1.01092,0,0,0,1.01092
-256,6.04724,1.01084,0,0,0,1.01084,0,0,0,1.01084
-256,10.0787,1.01075,0,0,0,1.01075,0,0,0,1.01075
-256,14.1102,1.01067,0,0,0,1.01067,0,0,0,1.01067
-256,18.1417,1.01059,0,0,0,1.01059,0,0,0,1.01059
-256,22.1732,1.01051,0,0,0,1.01051,0,0,0,1.01051
-256,26.2047,1.01043,0,0,0,1.01043,0,0,0,1.01043
-256,30.2362,1.01035,0,0,0,1.01035,0,0,0,1.01035
-256,34.2677,1.01027,0,0,0,1.01027,0,0,0,1.01027
-256,38.2992,1.01019,0,0,0,1.01019,0,0,0,1.01019
-256,42.3307,1.01011,0,0,0,1.01011,0,0,0,1.01011
-256,46.3622,1.01004,0,0,0,1.01004,0,0,0,1.01004
-256,50.3937,1.00996,0,0,0,1.00996,0,0,0,1.00996
-256,54.4252,1.00988,0,0,0,1.00988,0,0,0,1.00988
-256,58.4567,1.00981,0,0,0,1.00981,0,0,0,1.00981
-256,62.4882,1.00973,0,0,0,1.00973,0,0,0,1.00973
-256,66.5197,1.00966,0,0,0,1.00966,0,0,0,1.00966
-256,70.5512,1.00959,0,0,0,1.00959,0,0,0,1.00959
-256,74.5827,1.00952,0,0,0,1.00952,0,0,0,1.00952
-256,78.6142,1.00945,0,0,0,1.00945,0,0,0,1.00945
-256,82.6457,1.00938,0,0,0,1.00938,0,0,0,1.00938
-256,86.6772,1.00931,0,0,0,1.00931,0,0,0,1.00931
-256,90.7087,1.00924,0,0,0,1.00924,0,0,0,1.00924
-256,94.7402,1.00917,0,0,0,1.00917,0,0,0,1.00917
-256,98.7717,1.0091,0,0,0,1.0091,0,0,0,1.0091
-256,102.803,1.00904,0,0,0,1.00904,0,0,0,1.00904
-256,106.835,1.00897,0,0,0,1.00897,0,0,0,1.00897
-256,110.866,1.00891,0,0,0,1.00891,0,0,0,1.00891
-256,114.898,1.00884,0,0,0,1.00884,0,0,0,1.00884
-256,118.929,1.00878,0,0,0,1.00878,0,0,0,1.00878
-256,122.961,1.00871,0,0,0,1.00871,0,0,0,1.00871
-256,126.992,1.00865,0,0,0,1.00865,0,0,0,1.00865
-256,131.024,1.00859,0,0,0,1.00859,0,0,0,1.00859
-256,135.055,1.00853,0,0,0,1.00853,0,0,0,1.00853
-256,139.087,1.00847,0,0,0,1.00847,0,0,0,1.00847
-256,143.118,1.00841,0,0,0,1.00841,0,0,0,1.00841
-256,147.15,1.00835,0,0,0,1.00835,0,0,0,1.00835
-256,151.181,1.00829,0,0,0,1.00829,0,0,0,1.00829
-256,155.213,1.00823,0,0,0,1.00823,0,0,0,1.00823
-256,159.244,1.00818,0,0,0,1.00818,0,0,0,1.00818
-256,163.276,1.00812,0,0,0,1.00812,0,0,0,1.00812
-256,167.307,1.00807,0,0,0,1.00807,0,0,0,1.00807
-256,171.339,1.00801,0,0,0,1.00801,0,0,0,1.00801
-256,175.37,1.00796,0,0,0,1.00796,0,0,0,1.00796
-256,179.402,1.0079,0,0,0,1.0079,0,0,0,1.0079
-256,183.433,1.00785,0,0,0,1.00785,0,0,0,1.00785
-256,187.465,1.0078,0,0,0,1.0078,0,0,0,1.0078
-256,191.496,1.00774,0,0,0,1.00774,0,0,0,1.00774
-256,195.528,1.00769,0,0,0,1.00769,0,0,0,1.00769
-256,199.559,1.00764,0,0,0,1.00764,0,0,0,1.00764
-256,203.591,1.00759,0,0,0,1.00759,0,0,0,1.00759
-256,207.622,1.00754,0,0,0,1.00754,0,0,0,1.00754
-256,211.654,1.00749,0,0,0,1.00749,0,0,0,1.00749
-256,215.685,1.00744,0,0,0,1.00744,0,0,0,1.00744
-256,219.717,1.00739,0,0,0,1.00739,0,0,0,1.00739
-256,223.748,1.00735,0,0,0,1.00735,0,0,0,1.00735
-256,227.78,1.0073,0,0,0,1.0073,0,0,0,1.0073
-256,231.811,1.00725,0,0,0,1.00725,0,0,0,1.00725
-256,235.843,1.00721,0,0,0,1.00721,0,0,0,1.00721
-256,239.874,1.00716,0,0,0,1.00716,0,0,0,1.00716
-256,243.906,1.00712,0,0,0,1.00712,0,0,0,1.00712
-256,247.937,1.00707,0,0,0,1.00707,0,0,0,1.00707
-256,251.969,1.00703,0,0,0,1.00703,0,0,0,1.00703
-256,256,1.00703,0,0,0,1.00703,0,0,0,1.00703
-251.969,-256,1.01546,0,0,0,1.01546,0,0,0,1.01546
-251.969,-251.969,1.01546,-5.78984e-20,-9.62002e-22,-1.86937e-19,1.01546,-5.81744e-20,1.30486e-19,6.58251e-20,1.01546
-251.969,-247.937,1.01545,-3.39819e-20,1.80052e-20,-6.04584e-20,1.01545,9.18342e-19,1.3817e-18,8.92065e-19,1.01545
-251.969,-243.906,1.01544,-3.3767e-20,-2.33234e-21,-9.93319e-20,1.01544,-1.46969e-19,1.35636e-18,-1.33863e-19,1.01544
-251.969,-239.874,1.01542,-3.34983e-20,-3.02392e-21,-1.16866e-19,1.01542,-1.89006e-19,1.34838e-18,-1.57802e-19,1.01542
-251.969,-235.843,1.0154,-3.31777e-20,-3.70331e-21,-1.36589e-19,1.0154,-2.3018e-19,1.33863e-18,-1.78567e-19,1.0154
-251.969,-231.811,1.01538,-3.28072e-20,-4.36814e-21,-1.55808e-19,1.01538,-2.7033e-19,1.32711e-18,-1.98694e-19,1.01538
-251.969,-227.78,1.01535,-3.23892e-20,-5.01614e-21,-1.74448e-19,1.01535,-3.09302e-19,1.31389e-18,-2.18107e-19,1.01535
-251.969,-223.748,1.01532,-3.19261e-20,-5.64521e-21,-1.92442e-19,1.01532,-3.46956e-19,1.29902e-18,-2.36739e-19,1.01532
-251.969,-219.717,1.01529,-3.14208e-20,-6.25332e-21,-2.09728e-19,1.01529,-3.8316e-19,1.2826e-18,-2.54528e-19,1.01529
-251.969,-215.685,1.01525,-3.08763e-20,-6.83867e-21,-2.26249e-19,1.01525,-4.17797e-19,1.26471e-18,-2.71418e-19,1.01525
-251.969,-211.654,1.01521,-3.02957e-20,-7.3996e-21,-2.41954e-19,1.01521,-4.50763e-19,1.24543e-18,-2.87361e-19,1.01521
-251.969,-207.622,1.01516,-2.96823e-20,-7.93454e-21,-2.56802e-19,1.01516,-4.81967e-19,1.22487e-18,-3.02318e-19,1.01516
-251.969,-203.591,1.01512,-2.90394e-20,-8.44227e-21,-2.70754e-19,1.01512,-5.11332e-19,1.20312e-18,-3.16256e-19,1.01512
-251.969,-199.559,1.01507,-2.83704e-20,-8.92168e-21,-2.83781e-19,1.01507,-5.38797e-19,1.18028e-18,-3.29149e-19,1.01507
-251.969,-195.528,1.01502,-2.76787e-20,-9.37174e-21,-2.9586e-19,1.01502,-5.64313e-19,1.15646e-18,-3.40981e-19,1.01502
-251.969,-191.496,1.01496,-2.69677e-20,-9.79176e-21,-3.06974e-19,1.01496,-5.87846e-19,1.13177e-18,-3.51741e-19,1.01496
-251.969,-187.465,1.0149,-2.62407e-20,-1.01812e-20,-3.17113e-19,1.0149,-6.09375e-19,1.1063e-18,-3.61426e-19,1.0149
-251.969,-183.433,1.01484,-2.5501e-20,-1.05396e-20,-3.26274e-19,1.01484,-6.28893e-19,1.08018e-18,-3.70039e-19,1.01484
-251.969,-179.402,1.01478,-2.47517e-20,-1.08669e-20,-3.34459e-19,1.01478,-6.46404e-19,1.05349e-18,-3.7759e-19,1.01478
-251.969,-175.37,1.01471,-2.3996e-20,-1.11629e-20,-3.41676e-19,1.01471,-6.61926e-19,1.02635e-18,-3.84095e-19,1.01471
-251.969,-171.339,1.01465,-2.32365e-20,-1.14279e-20,-3.47939e-19,1.01465,-6.75487e-19,9.9885e-19,-3.89574e-19,1.01465
-251.969,-167.307,1.01458,-2.24762e-20,-1.16622e-20,-3.53266e-19,1.01458,-6.87122e-19,9.71089e-19,-3.94053e-19,1.01458
-251.969,-163.276,1.0145,-2.17177e-20,-1.18661e-20,-3.57679e-19,1.0145,-6.9688e-19,9.43159e-19,-3.97563e-19,1.0145
-251.969,-159.244,1.01443,-2.09632e-20,-1.20403e-20,-3.61205e-19,1.01443,-7.04815e-19,9.15148e-19,-4.00138e-19,1.01443
-251.969,-155.213,1.01436,-2.0215e-20,-1.21855e-20,-3.63874e-19,1.01436,-7.10989e-19,8.87139e-19,-4.01814e-19,1.01436
-251.969,-151.181,1.01428,-1.94751e-20,-1.23025e-20,-3.6572e-19,1.01428,-7.1547e-19,8.59211e-19,-4.02632e-19,1.01428
-251.969,-147.15,1.0142,-1.87454e-20,-1.23923e-20,-3.66777e-19,1.0142,-7.18331e-19,8.31438e-19,-4.02634e-19,1.0142
-251.969,-143.118,1.01412,-1.80276e-20,-1.24557e-20,-3.67084e-19,1.01412,-7.1965e-19,8.03887e-19,-4.01864e-19,1.01412
-251.969,-139.087,1.01404,-1.7323e-20,-1.24939e-20,-3.6668e-19,1.01404,-7.19508e-19,7.76621e-19,-4.00368e-19,1.01404
-251.969,-135.055,1.01395,-1.6633e-20,-1.25081e-20,-3.65605e-19,1.01395,-7.17987e-19,7.49698e-19,-3.98192e-19,1.01395
-251.969,-131.024,1.01387,-1.59587e-20,-1.24994e-20,-3.63901e-19,1.01387,-7.15172e-19,7.23169e-19,-3.95382e-19,1.01387
-251.969,-126.992,1.01378,-1.5301e-20,-1.2469e-20,-3.6161e-19,1.01378,-7.1115e-19,6.97081e-19,-3.91985e-19,1.01378
-251.969,-122.961,1.0137,-1.46607e-20,-1.24183e-20,-3.58773e-19,1.0137,-7.06006e-19,6.71476e-19,-3.88047e-19,1.0137
-251.969,-118.929,1.01361,-1.40384e-20,-1.23485e-20,-3.55433e-19,1.01361,-6.99825e-19,6.46388e-19,-3.83613e-19,1.01361
-251.969,-114.898,1.01352,-1.34347e-20,-1.22608e-20,-3.5163e-19,1.01352,-6.92692e-19,6.21851e-19,-3.7873e-19,1.01352
-251.969,-110.866,1.01343,-1.28498e-20,-1.21565e-20,-3.47405e-19,1.01343,-6.8469e-19,5.97891e-19,-3.7344e-19,1.01343
-251.969,-106.835,1.01334,-1.22841e-20,-1.2037e-20,-3.42798e-19,1.01334,-6.75899e-19,5.7453e-19,-3.67785e-19,1.01334
-251.969,-102.803,1.01325,-1.17376e-20,-1.19034e-20,-3.37847e-19,1.01325,-6.66397e-19,5.51786e-19,-3.61807e-19,1.01325
-251.969,-98.7717,1.01316,-1.12105e-20,-1.1757e-20,-3.32589e-19,1.01316,-6.56261e-19,5.29674e-19,-3.55545e-19,1.01316
-251.969,-94.7402,1.01307,-1.07026e-20,-1.1599e-20,-3.27059e-19,1.01307,-6.45562e-19,5.08204e-19,-3.49036e-19,1.01307
-251.969,-90.7087,1.01298,-1.02137e-20,-1.14305e-20,-3.21293e-19,1.01298,-6.34371e-19,4.87384e-19,-3.42316e-19,1.01298
-251.969,-86.6772,1.01289,-9.7438e-21,-1.12527e-20,-3.15322e-19,1.01289,-6.22754e-19,4.67218e-19,-3.35418e-19,1.01289
-251.969,-82.6457,1.0128,-9.29247e-21,-1.10666e-20,-3.09177e-19,1.0128,-6.10774e-19,4.47706e-19,-3.28374e-19,1.0128
-251.969,-78.6142,1.01271,-8.85945e-21,-1.08733e-20,-3.02887e-19,1.01271,-5.98489e-19,4.28848e-19,-3.21215e-19,1.01271
-251.969,-74.5827,1.01261,-8.44432e-21,-1.06738e-20,-2.9648e-19,1.01261,-5.85956e-19,4.1064e-19,-3.13967e-19,1.01261
-251.969,-70.5512,1.01252,-8.04672e-21,-1.04689e-20,-2.89981e-19,1.01252,-5.73227e-19,3.93076e-19,-3.06656e-19,1.01252
-251.969,-66.5197,1.01243,-7.66617e-21,-1.02597e-20,-2.83415e-19,1.01243,-5.6035e-19,3.76148e-19,-2.99308e-19,1.01243
-251.969,-62.4882,1.01234,-7.30224e-21,-1.00469e-20,-2.76802e-19,1.01234,-5.4737e-19,3.59848e-19,-2.91943e-19,1.01234
-251.969,-58.4567,1.01225,-6.9544e-21,-9.83122e-21,-2.70165e-19,1.01225,-5.3433e-19,3.44164e-19,-2.84583e-19,1.01225
-251.969,-54.4252,1.01216,-6.62216e-21,-9.61354e-21,-2.63522e-19,1.01216,-5.21267e-19,3.29084e-19,-2.77245e-19,1.01216
