i,j,r,theta,rho
0,0,2,0,0
0,1,2,0.0314159,0
0,2,2,0.0628319,0
0,3,2,0.0942478,0
0,4,2,0.125664,0
0,5,2,0.15708,0
0,6,2,0.188496,0
0,7,2,0.219911,0
0,8,2,0.251327,0
0,9,2,0.282743,0
0,10,2,0.314159,0
0,11,2,0.345575,0
0,12,2,0.376991,0
0,13,2,0.408407,0
0,14,2,0.439823,0
0,15,2,0.471239,0
0,16,2,0.502655,0
0,17,2,0.534071,0
0,18,2,0.565487,0
0,19,2,0.596903,0
0,20,2,0.628319,0
0,21,2,0.659734,0
0,22,2,0.69115,0
0,23,2,0.722566,0
0,24,2,0.753982,0
0,25,2,0.785398,0
0,26,2,0.816814,0
0,27,2,0.84823,0
0,28,2,0.879646,0
0,29,2,0.911062,0
0,30,2,0.942478,0
0,31,2,0.973894,0
0,32,2,1.00531,0
0,33,2,1.03673,0
0,34,2,1.06814,0
0,35,2,1.09956,0
0,36,2,1.13097,0
0,37,2,1.16239,0
0,38,2,1.19381,0
0,39,2,1.22522,0
0,40,2,1.25664,0
0,41,2,1.28805,0
0,42,2,1.31947,0
0,43,2,1.35088,0
0,44,2,1.3823,0
0,45,2,1.41372,0
0,46,2,1.44513,0
0,47,2,1.47655,0
0,48,2,1.50796,0
0,49,2,1.53938,0
0,50,2,1.5708,0
0,51,2,1.60221,0
0,52,2,1.63363,0
0,53,2,1.66504,0
0,54,2,1.69646,0
0,55,2,1.72788,0
0,56,2,1.75929,0
0,57,2,1.79071,0
0,58,2,1.82212,0
0,59,2,1.85354,0
0,60,2,1.88496,0
0,61,2,1.91637,0
0,62,2,1.94779,0
0,63,2,1.9792,0
0,64,2,2.01062,0
0,65,2,2.04204,0
0,66,2,2.07345,0
0,67,2,2.10487,0
0,68,2,2.13628,0
0,69,2,2.1677,0
0,70,2,2.19911,0
0,71,2,2.23053,0
0,72,2,2.26195,0
0,73,2,2.29336,0
0,74,2,2.32478,0
0,75,2,2.35619,0
0,76,2,2.38761,0
0,77,2,2.41903,0
0,78,2,2.45044,0
0,79,2,2.48186,0
0,80,2,2.51327,0
0,81,2,2.54469,0
0,82,2,2.57611,0
0,83,2,2.60752,0
0,84,2,2.63894,0
0,85,2,2.67035,0
0,86,2,2.70177,0
0,87,2,2.73319,0
0,88,2,2.7646,0
0,89,2,2.79602,0
0,90,2,2.82743,0
0,91,2,2.85885,0
0,92,2,2.89027,0
0,93,2,2.92168,0
0,94,2,2.9531,0
0,95,2,2.98451,0
0,96,2,3.01593,0
0,97,2,3.04734,0
0,98,2,3.07876,0
0,99,2,3.11018,0
0,100,2,3.14159,0
1,0,2.08,0,0
1,1,2.08,0.0314159,0
1,2,2.08,0.0628319,0
1,3,2.08,0.0942478,0
1,4,2.08,0.125664,0
1,5,2.08,0.15708,0
1,6,2.08,0.188496,0
1,7,2.08,0.219911,0
1,8,2.08,0.251327,0
1,9,2.08,0.282743,0
1,10,2.08,0.314159,0
1,11,2.08,0.345575,0
1,12,2.08,0.376991,0
1,13,2.08,0.408407,0
1,14,2.08,0.439823,0
1,15,2.08,0.471239,0
1,16,2.08,0.502655,0
1,17,2.08,0.534071,0
1,18,2.08,0.565487,0
1,19,2.08,0.596903,0
1,20,2.08,0.628319,0
1,21,2.08,0.659734,0
1,22,2.08,0.69115,0
1,23,2.08,0.722566,0
1,24,2.08,0.753982,0
1,25,2.08,0.785398,0
1,26,2.08,0.816814,0
1,27,2.08,0.84823,0
1,28,2.08,0.879646,0
1,29,2.08,0.911062,0
1,30,2.08,0.942478,0
