x,z,rho,p,vx,vy,vz
-2,-2,0.379545,0.18589,-0.282838,0.00226271,0
-2,-1.9,0.379545,0.18589,-0.282838,0.00226271,0
-2,-1.8,0.385426,0.189904,-0.28511,0.00228088,0
-2,-1.7,0.391301,0.193948,-0.287399,0.00229919,0
-2,-1.6,0.397167,0.198021,-0.289705,0.00231764,0
-2,-1.5,0.403021,0.202119,-0.292028,0.00233623,0
-2,-1.4,0.40886,0.206241,-0.294367,0.00235494,0
-2,-1.3,0.414681,0.210384,-0.296722,0.00237377,0
-2,-1.2,0.42048,0.214546,-0.29909,0.00239272,0
-2,-1.1,0.426254,0.218723,-0.301473,0.00241178,0
-2,-1,0.432001,0.222913,-0.303869,0.00243095,0
-2,-0.9,0.437717,0.227113,-0.306276,0.00245021,0
-2,-0.8,0.443398,0.231321,-0.308695,0.00246956,0
-2,-0.7,0.449042,0.235532,-0.311124,0.00248899,0
-2,-0.6,0.454645,0.239744,-0.313561,0.00250849,0
-2,-0.5,0.460203,0.243955,-0.316007,0.00252805,0
-2,-0.4,0.465714,0.248159,-0.318458,0.00254767,0
-2,-0.3,0.471175,0.252355,-0.320915,0.00256732,0
-2,-0.2,0.476581,0.256539,-0.323376,0.00258701,0
-2,-0.1,0.481929,0.260706,-0.325838,0.00260671,0
-2,1.11022e-16,0.487217,0.264855,-0.328301,0.00262641,0
-2,0.1,0.49244,0.268981,-0.330763,0.00264611,0
-2,0.2,0.497596,0.27308,-0.333222,0.00266578,0
-2,0.3,0.502682,0.277149,-0.335676,0.00268541,0
-2,0.4,0.507693,0.281184,-0.338124,0.00270499,0
-2,0.5,0.512627,0.285182,-0.340562,0.00272449,0
-2,0.6,0.517481,0.289138,-0.342989,0.00274391,0
-2,0.7,0.522251,0.293049,-0.345403,0.00276322,0
-2,0.8,0.526935,0.296911,-0.347801,0.00278241,0
-2,0.9,0.531529,0.30072,-0.350182,0.00280145,0
-2,1,0.536029,0.304473,-0.352541,0.00282033,0
-2,1.1,0.540434,0.308165,-0.354878,0.00283902,0
-2,1.2,0.54474,0.311793,-0.357188,0.00285751,0
-2,1.3,0.548944,0.315353,-0.35947,0.00287576,0
-2,1.4,0.553044,0.318842,-0.361721,0.00289377,0
-2,1.5,0.557036,0.322255,-0.363937,0.0029115,0
-2,1.6,0.560917,0.325589,-0.366116,0.00292893,0
-2,1.7,0.564686,0.328841,-0.368255,0.00294604,0
-2,1.8,0.568338,0.332006,-0.37035,0.0029628,0
-2,1.9,0.571873,0.335081,-0.372399,0.00297919,0
-2,2,0.575287,0.338064,-0.374398,0.00299518,0
-2,2.1,0.578578,0.34095,-0.376344,0.00301075,0
-2,2.2,0.581743,0.343736,-0.378235,0.00302588,0
-2,2.3,0.584781,0.346419,-0.380066,0.00304053,0
-2,2.4,0.587689,0.348996,-0.381835,0.00305468,0
-2,2.5,0.590464,0.351463,-0.383539,0.00306831,0
-2,2.6,0.593106,0.353819,-0.385174,0.00308139,0
-2,2.7,0.595612,0.35606,-0.386738,0.0030939,0
-2,2.8,0.59798,0.358184,-0.388227,0.00310582,0
-2,2.9,0.600209,0.360188,-0.389639,0.00311711,0
-2,3,0.602296,0.362069,-0.390971,0.00312777,0
-2,3.1,0.604241,0.363826,-0.39222,0.00313776,0
-2,3.2,0.606042,0.365456,-0.393384,0.00314707,0
-2,3.3,0.607698,0.366957,-0.39446,0.00315568,0
-2,3.4,0.609206,0.368328,-0.395445,0.00316356,0
-2,3.5,0.610568,0.369567,-0.396339,0.00317071,0
-2,3.6,0.61178,0.370672,-0.397138,0.00317711,0
-2,3.7,0.612843,0.371641,-0.397842,0.00318273,0
-2,3.8,0.613756,0.372475,-0.398447,0.00318758,0
-2,3.9,0.614517,0.373171,-0.398955,0.00319164,0
-2,4,0.615127,0.373729,-0.399362,0.00319489,0
-2,4.1,0.615585,0.374148,-0.399668,0.00319734,0
-2,4.2,0.615891,0.374428,-0.399872,0.00319898,0
-2,4.3,0.616043,0.374568,-0.399974,0.0031998,0
-2,4.4,0.616043,0.374568,-0.399974,0.0031998,0
-2,4.5,0.615891,0.374428,-0.399872,0.00319898,0
-2,4.6,0.615585,0.374148,-0.399668,0.00319734,0
-2,4.7,0.615127,0.373729,-0.399362,0.00319489,0
-2,4.8,0.614517,0.373171,-0.398955,0.00319164,0
-2,4.9,0.613756,0.372475,-0.398447,0.00318758,0
-2,5,0.612843,0.371641,-0.397842,0.00318273,0
-2,5.1,0.61178,0.370672,-0.397138,0.00317711,0
-2,5.2,0.610568,0.369567,-0.396339,0.00317071,0
-2,5.3,0.609206,0.368328,-0.395445,0.00316356,0
-2,5.4,0.607698,0.366957,-0.39446,0.00315568,0
-2,5.5,0.606042,0.365456,-0.393384,0.00314707,0
-2,5.6,0.604241,0.363826,-0.39222,0.00313776,0
-2,5.7,0.602296,0.362069,-0.390971,0.00312777,0
-2,5.8,0.600209,0.360188,-0.389639,0.00311711,0
-2,5.9,0.59798,0.358184,-0.388227,0.00310582,0
-2,6,0.595612,0.35606,-0.386738,0.0030939,0
-2,6.1,0.593106,0.353819,-0.385174,0.00308139,0
-2,6.2,0.590464,0.351463,-0.383539,0.00306831,0
-2,6.3,0.587689,0.348996,-0.381835,0.00305468,0
-2,6.4,0.584781,0.346419,-0.380066,0.00304053,0
-2,6.5,0.581743,0.343736,-0.378235,0.00302588,0
-2,6.6,0.578578,0.34095,-0.376344,0.00301075,0
-2,6.7,0.575287,0.338064,-0.374398,0.00299518,0
-2,6.8,0.571873,0.335081,-0.372399,0.00297919,0
-2,6.9,0.568338,0.332006,-0.37035,0.0029628,0
-2,7,0.564686,0.328841,-0.368255,0.00294604,0
-2,7.1,0.560917,0.325589,-0.366116,0.00292893,0
-2,7.2,0.557036,0.322255,-0.363937,0.0029115,0
-2,7.3,0.553044,0.318842,-0.361721,0.00289377,0
-2,7.4,0.548944,0.315353,-0.35947,0.00287576,0
-2,7.5,0.54474,0.311793,-0.357188,0.00285751,0
-2,7.6,0.540434,0.308165,-0.354878,0.00283902,0
-2,7.7,0.536029,0.304473,-0.352541,0.00282033,0
-2,7.8,0.531529,0.30072,-0.350182,0.00280145,0
-2,7.9,0.526935,0.296911,-0.347801,0.00278241,0
-2,8,0.522251,0.293049,-0.345403,0.00276322,0
-2,8.1,0.517481,0.289138,-0.342989,0.00274391,0
-2,8.2,0.512627,0.285182,-0.340562,0.00272449,0
-2,8.3,0.507693,0.281184,-0.338124,0.00270499,0
-2,8.4,0.502682,0.277149,-0.335676,0.00268541,0
-2,8.5,0.497596,0.27308,-0.333222,0.00266578,0
-2,8.6,0.49244,0.268981,-0.330763,0.00264611,0
-2,8.7,0.487217,0.264855,-0.328301,0.00262641,0
-2,8.8,0.481929,0.260706,-0.325838,0.00260671,0
-2,8.9,0.476581,0.256539,-0.323376,0.00258701,0
-2,9,0.471175,0.252355,-0.320915,0.00256732,0
-2,9.1,0.465714,0.248159,-0.318458,0.00254767,0
-2,9.2,0.460203,0.243955,-0.316007,0.00252805,0
-2,9.3,0.454645,0.239744,-0.313561,0.00250849,0
-2,9.4,0.449042,0.235532,-0.311124,0.00248899,0
-2,9.5,0.443398,0.231321,-0.308695,0.00246956,0
-2,9.6,0.437717,0.227113,-0.306276,0.00245021,0
-2,9.7,0.432001,0.222913,-0.303869,0.00243095,0
-2,9.8,0.426254,0.218723,-0.301473,0.00241178,0
-2,9.9,0.42048,0.214546,-0.29909,0.00239272,0
-2,10,0.414681,0.210384,-0.296722,0.00237377,0
-2,10.1,0.40886,0.206241,-0.294367,0.00235494,0
-2,10.2,0.403021,0.202119,-0.292028,0.00233623,0
-2,10.3,0.397167,0.198021,-0.289705,0.00231764,0
-2,10.4,0.391301,0.193948,-0.287399,0.00229919,0
-2,10.5,0.385426,0.189904,-0.28511,0.00228088,0
-2,10.6,0.379545,0.18589,-0.282838,0.00226271,0
-2,10.7,0.379545,0.18589,-0.282838,0.00226271,0
-1.9,-2,0.379545,0.18589,-0.282838,0.00226271,0
-1.9,-1.9,0.379545,0.18589,-0.294395,0.00243967,-0.0108066
-1.9,-1.8,0.385426,0.189904,-0.296816,0.00246026,-0.0212821
-1.9,-1.7,0.391301,0.193948,-0.299215,0.00247863,-0.0211573
-1.9,-1.6,0.397167,0.198021,-0.301635,0.00249773,-0.0209637
-1.9,-1.5,0.403021,0.202119,-0.30407,0.00251821,-0.0207614
-1.9,-1.4,0.40886,0.206241,-0.306523,0.00253832,-0.0205527
-1.9,-1.3,0.414681,0.210384,-0.308991,0.00255862,-0.0203374
-1.9,-1.2,0.42048,0.214546,-0.311473,0.00257903,-0.0201154
-1.9,-1.1,0.426254,0.218723,-0.31397,0.00259954,-0.0198867
-1.9,-1,0.432001,0.222913,-0.31648,0.00262015,-0.0196512
-1.9,-0.9,0.437717,0.227113,-0.319002,0.00264084,-0.0194089
-1.9,-0.8,0.443398,0.231321,-0.321535,0.00266161,-0.0191599
-1.9,-0.7,0.449042,0.235532,-0.324078,0.00268245,-0.0189041
-1.9,-0.6,0.454645,0.239744,-0.32663,0.00270335,-0.0186415
-1.9,-0.5,0.460203,0.243955,-0.32919,0.0027243,-0.0183723
-1.9,-0.4,0.465714,0.248159,-0.331756,0.00274529,-0.0180964
-1.9,-0.3,0.471175,0.252355,-0.334327,0.0027663,-0.0178139
-1.9,-0.2,0.476581,0.256539,-0.336902,0.00278733,-0.0175249
-1.9,-0.1,0.481929,0.260706,-0.339478,0.00280836,-0.0172294
-1.9,1.11022e-16,0.487217,0.264855,-0.342054,0.00282938,-0.0169276
-1.9,0.1,0.49244,0.268981,-0.344629,0.00285037,-0.0166194
-1.9,0.2,0.497596,0.27308,-0.347201,0.00287132,-0.0163051
-1.9,0.3,0.502682,0.277149,-0.349767,0.00289221,-0.0159846
-1.9,0.4,0.507693,0.281184,-0.352326,0.00291302,-0.0156583
-1.9,0.5,0.512627,0.285182,-0.354875,0.00293375,-0.0153261
-1.9,0.6,0.517481,0.289138,-0.357412,0.00295437,-0.0149883
-1.9,0.7,0.522251,0.293049,-0.359936,0.00297486,-0.014645
-1.9,0.8,0.526935,0.296911,-0.362442,0.0029952,-0.0142963
-1.9,0.9,0.531529,0.30072,-0.36493,0.00301537,-0.0139425
-1.9,1,0.536029,0.304473,-0.367396,0.00303536,-0.0135836
-1.9,1.1,0.540434,0.308165,-0.369838,0.00305513,-0.01322
-1.9,1.2,0.54474,0.311793,-0.372253,0.00307467,-0.0128517
-1.9,1.3,0.548944,0.315353,-0.374638,0.00309396,-0.012479
-1.9,1.4,0.553044,0.318842,-0.37699,0.00311297,-0.0121022
-1.9,1.5,0.557036,0.322255,-0.379306,0.00313168,-0.0117213
-1.9,1.6,0.560917,0.325589,-0.381583,0.00315007,-0.0113366
-1.9,1.7,0.564686,0.328841,-0.383818,0.0031681,-0.0109484
-1.9,1.8,0.568338,0.332006,-0.386008,0.00318576,-0.0105568
-1.9,1.9,0.571873,0.335081,-0.388149,0.00320302,-0.0101621
-1.9,2,0.575287,0.338064,-0.390238,0.00321985,-0.00976447
-1.9,2.1,0.578578,0.34095,-0.392272,0.00323622,-0.00936412
-1.9,2.2,0.581743,0.343736,-0.394248,0.00325212,-0.00896128
-1.9,2.3,0.584781,0.346419,-0.396163,0.00326752,-0.00855614
-1.9,2.4,0.587689,0.348996,-0.398012,0.00328238,-0.00814892
-1.9,2.5,0.590464,0.351463,-0.399793,0.00329669,-0.0077398
-1.9,2.6,0.593106,0.353819,-0.401503,0.00331042,-0.00732897
-1.9,2.7,0.595612,0.35606,-0.403138,0.00332354,-0.00691661
-1.9,2.8,0.59798,0.358184,-0.404695,0.00333604,-0.0065029
-1.9,2.9,0.600209,0.360188,-0.406172,0.00334788,-0.00608798
-1.9,3,0.602296,0.362069,-0.407564,0.00335905,-0.00567201
-1.9,3.1,0.604241,0.363826,-0.408871,0.00336952,-0.00525513
-1.9,3.2,0.606042,0.365456,-0.410088,0.00337927,-0.00483746
-1.9,3.3,0.607698,0.366957,-0.411213,0.00338828,-0.00441912
-1.9,3.4,0.609206,0.368328,-0.412244,0.00339654,-0.00400022
-1.9,3.5,0.610568,0.369567,-0.413178,0.00340402,-0.00358084
-1.9,3.6,0.61178,0.370672,-0.414014,0.00341071,-0.00316107
-1.9,3.7,0.612843,0.371641,-0.41475,0.0034166,-0.00274098
-1.9,3.8,0.613756,0.372475,-0.415384,0.00342167,-0.00232064
-1.9,3.9,0.614517,0.373171,-0.415914,0.00342591,-0.00190009
-1.9,4,0.615127,0.373729,-0.41634,0.00342932,-0.00147939
-1.9,4.1,0.615585,0.374148,-0.41666,0.00343188,-0.00105858
-1.9,4.2,0.615891,0.374428,-0.416873,0.00343359,-0.000637686
-1.9,4.3,0.616043,0.374568,-0.41698,0.00343445,-0.000216745
-1.9,4.4,0.616043,0.374568,-0.41698,0.00343445,0.000204215
-1.9,4.5,0.615891,0.374428,-0.416873,0.00343359,0.000625164
-1.9,4.6,0.615585,0.374148,-0.416658,0.00343188,0.00104607
-1.9,4.7,0.615127,0.373729,-0.416338,0.00342932,0.00146691
-1.9,4.8,0.614517,0.373171,-0.415911,0.00342591,0.00188764
-1.9,4.9,0.613756,0.372475,-0.41538,0.00342167,0.00230822
-1.9,5,0.612843,0.371641,-0.414746,0.0034166,0.00272861
-1.9,5.1,0.61178,0.370672,-0.41401,0.00341071,0.00314875
-1.9,5.2,0.610568,0.369567,-0.413173,0.00340402,0.00356858
-1.9,5.3,0.609206,0.368328,-0.412238,0.00339654,0.00398803
-1.9,5.4,0.607698,0.366957,-0.411207,0.00338828,0.00440701
-1.9,5.5,0.606042,0.365456,-0.410081,0.00337927,0.00482543
-1.9,5.6,0.604241,0.363826,-0.408863,0.00336952,0.00524319
-1.9,5.7,0.602296,0.362069,-0.407557,0.00335905,0.00566016
-1.9,5.8,0.600209,0.360188,-0.406163,0.00334789,0.00607623
-1.9,5.9,0.59798,0.358184,-0.404686,0.00333604,0.00649126
-1.9,6,0.595612,0.35606,-0.403129,0.00332355,0.00690509
-1.9,6.1,0.593106,0.353819,-0.401493,0.00331042,0.00731756
-1.9,6.2,0.590464,0.351463,-0.399783,0.0032967,0.00772852
-1.9,6.3,0.587689,0.348996,-0.398001,0.00328239,0.00813776
-1.9,6.4,0.584781,0.346419,-0.396152,0.00326752,0.00854512
-1.9,6.5,0.581743,0.343736,-0.394237,0.00325213,0.0089504
-1.9,6.6,0.578578,0.34095,-0.392261,0.00323623,0.00935338
-1.9,6.7,0.575287,0.338064,-0.390226,0.00321985,0.00975388
-1.9,6.8,0.571873,0.335081,-0.388136,0.00320302,0.0101517
-1.9,6.9,0.568338,0.332006,-0.385995,0.00318577,0.0105465
-1.9,7,0.564686,0.328841,-0.383805,0.00316811,0.0109383
-1.9,7.1,0.560917,0.325589,-0.381569,0.00315008,0.0113267
-1.9,7.2,0.557036,0.322255,-0.379292,0.00313169,0.0117115
-1.9,7.3,0.553044,0.318842,-0.376976,0.00311298,0.0120925
-1.9,7.4,0.548944,0.315353,-0.374623,0.00309397,0.0124696
-1.9,7.5,0.54474,0.311793,-0.372238,0.00307468,0.0128424
-1.9,7.6,0.540434,0.308165,-0.369823,0.00305514,0.0132108
-1.9,7.7,0.536029,0.304473,-0.367381,0.00303536,0.0135746
-1.9,7.8,0.531529,0.30072,-0.364915,0.00301538,0.0139337
-1.9,7.9,0.526935,0.296911,-0.362427,0.0029952,0.0142877
-1.9,8,0.522251,0.293049,-0.35992,0.00297486,0.0146365
-1.9,8.1,0.517481,0.289138,-0.357396,0.00295437,0.01498
-1.9,8.2,0.512627,0.285182,-0.354859,0.00293376,0.015318
-1.9,8.3,0.507693,0.281184,-0.35231,0.00291303,0.0156503
-1.9,8.4,0.502682,0.277149,-0.349751,0.00289222,0.0159769
-1.9,8.5,0.497596,0.27308,-0.347185,0.00287132,0.0162974
-1.9,8.6,0.49244,0.268981,-0.344613,0.00285037,0.016612
-1.9,8.7,0.487217,0.264855,-0.342038,0.00282938,0.0169203
-1.9,8.8,0.481929,0.260706,-0.339462,0.00280837,0.0172223
-1.9,8.9,0.476581,0.256539,-0.336885,0.00278734,0.017518
-1.9,9,0.471175,0.252355,-0.334311,0.00276631,0.0178072
-1.9,9.1,0.465714,0.248159,-0.33174,0.00274529,0.0180898
-1.9,9.2,0.460203,0.243955,-0.329174,0.00272431,0.0183658
-1.9,9.3,0.454645,0.239744,-0.326614,0.00270336,0.0186352
-1.9,9.4,0.449042,0.235532,-0.324062,0.00268246,0.0188979
-1.9,9.5,0.443398,0.231321,-0.321519,0.00266162,0.0191538
-1.9,9.6,0.437717,0.227113,-0.318986,0.00264084,0.019403
