x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-256,-256,3.41302,0,0,0,3.41302,0,0,0,3.41302
-256,-251.969,3.41302,0,0,0,3.41302,0,0,0,3.41302
-256,-247.937,3.44209,0,0,0,3.44209,0,0,0,3.44209
-256,-243.906,3.47157,0,0,0,3.47157,0,0,0,3.47157
-256,-239.874,3.50147,0,0,0,3.50147,0,0,0,3.50147
-256,-235.843,3.53177,0,0,0,3.53177,0,0,0,3.53177
-256,-231.811,3.56248,0,0,0,3.56248,0,0,0,3.56248
-256,-227.78,3.5936,0,0,0,3.5936,0,0,0,3.5936
-256,-223.748,3.62511,0,0,0,3.62511,0,0,0,3.62511
-256,-219.717,3.65701,0,0,0,3.65701,0,0,0,3.65701
-256,-215.685,3.6893,0,0,0,3.6893,0,0,0,3.6893
-256,-211.654,3.72197,0,0,0,3.72197,0,0,0,3.72197
-256,-207.622,3.755,0,0,0,3.755,0,0,0,3.755
-256,-203.591,3.78839,0,0,0,3.78839,0,0,0,3.78839
-256,-199.559,3.82213,0,0,0,3.82213,0,0,0,3.82213
-256,-195.528,3.8562,0,0,0,3.8562,0,0,0,3.8562
-256,-191.496,3.89059,0,0,0,3.89059,0,0,0,3.89059
-256,-187.465,3.92528,0,0,0,3.92528,0,0,0,3.92528
-256,-183.433,3.96025,0,0,0,3.96025,0,0,0,3.96025
-256,-179.402,3.99549,0,0,0,3.99549,0,0,0,3.99549
-256,-175.37,4.03097,0,0,0,4.03097,0,0,0,4.03097
-256,-171.339,4.06666,0,0,0,4.06666,0,0,0,4.06666
-256,-167.307,4.10255,0,0,0,4.10255,0,0,0,4.10255
-256,-163.276,4.13861,0,0,0,4.13861,0,0,0,4.13861
-256,-159.244,4.1748,0,0,0,4.1748,0,0,0,4.1748
-256,-155.213,4.21109,0,0,0,4.21109,0,0,0,4.21109
-256,-151.181,4.24746,0,0,0,4.24746,0,0,0,4.24746
-256,-147.15,4.28386,0,0,0,4.28386,0,0,0,4.28386
-256,-143.118,4.32025,0,0,0,4.32025,0,0,0,4.32025
-256,-139.087,4.3566,0,0,0,4.3566,0,0,0,4.3566
-256,-135.055,4.39286,0,0,0,4.39286,0,0,0,4.39286
-256,-131.024,4.42898,0,0,0,4.42898,0,0,0,4.42898
-256,-126.992,4.46493,0,0,0,4.46493,0,0,0,4.46493
-256,-122.961,4.50064,0,0,0,4.50064,0,0,0,4.50064
-256,-118.929,4.53608,0,0,0,4.53608,0,0,0,4.53608
-256,-114.898,4.57117,0,0,0,4.57117,0,0,0,4.57117
-256,-110.866,4.60587,0,0,0,4.60587,0,0,0,4.60587
-256,-106.835,4.64013,0,0,0,4.64013,0,0,0,4.64013
-256,-102.803,4.67387,0,0,0,4.67387,0,0,0,4.67387
-256,-98.7717,4.70704,0,0,0,4.70704,0,0,0,4.70704
-256,-94.7402,4.73958,0,0,0,4.73958,0,0,0,4.73958
-256,-90.7087,4.77142,0,0,0,4.77142,0,0,0,4.77142
-256,-86.6772,4.8025,0,0,0,4.8025,0,0,0,4.8025
-256,-82.6457,4.83275,0,0,0,4.83275,0,0,0,4.83275
-256,-78.6142,4.86211,0,0,0,4.86211,0,0,0,4.86211
-256,-74.5827,4.89051,0,0,0,4.89051,0,0,0,4.89051
-256,-70.5512,4.91789,0,0,0,4.91789,0,0,0,4.91789
-256,-66.5197,4.94417,0,0,0,4.94417,0,0,0,4.94417
-256,-62.4882,4.96931,0,0,0,4.96931,0,0,0,4.96931
-256,-58.4567,4.99322,0,0,0,4.99322,0,0,0,4.99322
-256,-54.4252,5.01586,0,0,0,5.01586,0,0,0,5.01586
-256,-50.3937,5.03716,0,0,0,5.03716,0,0,0,5.03716
-256,-46.3622,5.05707,0,0,0,5.05707,0,0,0,5.05707
-256,-42.3307,5.07552,0,0,0,5.07552,0,0,0,5.07552
-256,-38.2992,5.09248,0,0,0,5.09248,0,0,0,5.09248
-256,-34.2677,5.10788,0,0,0,5.10788,0,0,0,5.10788
-256,-30.2362,5.12169,0,0,0,5.12169,0,0,0,5.12169
-256,-26.2047,5.13387,0,0,0,5.13387,0,0,0,5.13387
-256,-22.1732,5.14437,0,0,0,5.14437,0,0,0,5.14437
-256,-18.1417,5.15318,0,0,0,5.15318,0,0,0,5.15318
-256,-14.1102,5.16025,0,0,0,5.16025,0,0,0,5.16025
-256,-10.0787,5.16558,0,0,0,5.16558,0,0,0,5.16558
-256,-6.04724,5.16914,0,0,0,5.16914,0,0,0,5.16914
-256,-2.01575,5.17092,0,0,0,5.17092,0,0,0,5.17092
-256,2.01575,5.17092,0,0,0,5.17092,0,0,0,5.17092
-256,6.04724,5.16914,0,0,0,5.16914,0,0,0,5.16914
-256,10.0787,5.16558,0,0,0,5.16558,0,0,0,5.16558
-256,14.1102,5.16025,0,0,0,5.16025,0,0,0,5.16025
-256,18.1417,5.15318,0,0,0,5.15318,0,0,0,5.15318
-256,22.1732,5.14437,0,0,0,5.14437,0,0,0,5.14437
-256,26.2047,5.13387,0,0,0,5.13387,0,0,0,5.13387
-256,30.2362,5.12169,0,0,0,5.12169,0,0,0,5.12169
-256,34.2677,5.10788,0,0,0,5.10788,0,0,0,5.10788
-256,38.2992,5.09248,0,0,0,5.09248,0,0,0,5.09248
-256,42.3307,5.07552,0,0,0,5.07552,0,0,0,5.07552
-256,46.3622,5.05707,0,0,0,5.05707,0,0,0,5.05707
-256,50.3937,5.03716,0,0,0,5.03716,0,0,0,5.03716
-256,54.4252,5.01586,0,0,0,5.01586,0,0,0,5.01586
-256,58.4567,4.99322,0,0,0,4.99322,0,0,0,4.99322
-256,62.4882,4.96931,0,0,0,4.96931,0,0,0,4.96931
-256,66.5197,4.94417,0,0,0,4.94417,0,0,0,4.94417
-256,70.5512,4.91789,0,0,0,4.91789,0,0,0,4.91789
-256,74.5827,4.89051,0,0,0,4.89051,0,0,0,4.89051
-256,78.6142,4.86211,0,0,0,4.86211,0,0,0,4.86211
-256,82.6457,4.83275,0,0,0,4.83275,0,0,0,4.83275
-256,86.6772,4.8025,0,0,0,4.8025,0,0,0,4.8025
-256,90.7087,4.77142,0,0,0,4.77142,0,0,0,4.77142
-256,94.7402,4.73958,0,0,0,4.73958,0,0,0,4.73958
-256,98.7717,4.70704,0,0,0,4.70704,0,0,0,4.70704
-256,102.803,4.67387,0,0,0,4.67387,0,0,0,4.67387
-256,106.835,4.64013,0,0,0,4.64013,0,0,0,4.64013
-256,110.866,4.60587,0,0,0,4.60587,0,0,0,4.60587
-256,114.898,4.57117,0,0,0,4.57117,0,0,0,4.57117
-256,118.929,4.53608,0,0,0,4.53608,0,0,0,4.53608
-256,122.961,4.50064,0,0,0,4.50064,0,0,0,4.50064
-256,126.992,4.46493,0,0,0,4.46493,0,0,0,4.46493
-256,131.024,4.42898,0,0,0,4.42898,0,0,0,4.42898
-256,135.055,4.39286,0,0,0,4.39286,0,0,0,4.39286
-256,139.087,4.3566,0,0,0,4.3566,0,0,0,4.3566
-256,143.118,4.32025,0,0,0,4.32025,0,0,0,4.32025
-256,147.15,4.28386,0,0,0,4.28386,0,0,0,4.28386
-256,151.181,4.24746,0,0,0,4.24746,0,0,0,4.24746
-256,155.213,4.21109,0,0,0,4.21109,0,0,0,4.21109
-256,159.244,4.1748,0,0,0,4.1748,0,0,0,4.1748
-256,163.276,4.13861,0,0,0,4.13861,0,0,0,4.13861
-256,167.307,4.10255,0,0,0,4.10255,0,0,0,4.10255
-256,171.339,4.06666,0,0,0,4.06666,0,0,0,4.06666
-256,175.37,4.03097,0,0,0,4.03097,0,0,0,4.03097
-256,179.402,3.99549,0,0,0,3.99549,0,0,0,3.99549
-256,183.433,3.96025,0,0,0,3.96025,0,0,0,3.96025
-256,187.465,3.92528,0,0,0,3.92528,0,0,0,3.92528
-256,191.496,3.89059,0,0,0,3.89059,0,0,0,3.89059
-256,195.528,3.8562,0,0,0,3.8562,0,0,0,3.8562
-256,199.559,3.82213,0,0,0,3.82213,0,0,0,3.82213
-256,203.591,3.78839,0,0,0,3.78839,0,0,0,3.78839
-256,207.622,3.755,0,0,0,3.755,0,0,0,3.755
-256,211.654,3.72197,0,0,0,3.72197,0,0,0,3.72197
-256,215.685,3.6893,0,0,0,3.6893,0,0,0,3.6893
-256,219.717,3.65701,0,0,0,3.65701,0,0,0,3.65701
-256,223.748,3.62511,0,0,0,3.62511,0,0,0,3.62511
-256,227.78,3.5936,0,0,0,3.5936,0,0,0,3.5936
-256,231.811,3.56248,0,0,0,3.56248,0,0,0,3.56248
-256,235.843,3.53177,0,0,0,3.53177,0,0,0,3.53177
-256,239.874,3.50147,0,0,0,3.50147,0,0,0,3.50147
-256,243.906,3.47157,0,0,0,3.47157,0,0,0,3.47157
-256,247.937,3.44209,0,0,0,3.44209,0,0,0,3.44209
-256,251.969,3.41302,0,0,0,3.41302,0,0,0,3.41302
-256,256,3.41302,0,0,0,3.41302,0,0,0,3.41302
-251.969,-256,3.41302,0,0,0,3.41302,0,0,0,3.41302
-251.969,-251.969,3.41349,4.54495e-05,-0.000113885,5.64223e-05,3.41324,-4.70731e-05,-4.65979e-05,-5.91319e-05,3.41344
-251.969,-247.937,3.44173,-0.000301556,-0.000595487,-0.000290517,3.44223,-5.52823e-05,-0.000592534,-7.86061e-05,3.44201
-251.969,-243.906,3.47129,-0.000201329,-0.00020691,-0.000190198,3.47163,4.12929e-05,-0.000203869,1.98374e-05,3.47173
