t,i,j,r,theta,dK_00,dK_01,dK_02,dK_10,dK_11,dK_12,dK_20,dK_21,dK_22
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0.349066,0,0,0,0,0,0,0,0,0
0,0,2,2,0.698132,0,0,0,0,0,0,0,0,0
0,0,3,2,1.0472,0,0,0,0,0,0,0,0,0
0,0,4,2,1.39626,0,0,0,0,0,0,0,0,0
0,0,5,2,1.74533,0,0,0,0,0,0,0,0,0
0,0,6,2,2.0944,0,0,0,0,0,0,0,0,0
0,0,7,2,2.44346,0,0,0,0,0,0,0,0,0
0,0,8,2,2.79253,0,0,0,0,0,0,0,0,0
0,0,9,2,3.14159,0,0,0,0,0,0,0,0,0
0,1,0,2.88889,0,0,0,0,0,0,0,0,0,0
0,1,1,2.88889,0.349066,0.139541,-0.061534,0,-0.061534,0.0748978,0,0,0,0
0,1,2,2.88889,0.698132,0.190489,-0.126629,0,-0.126629,0.0286518,0,0,0,0
0,1,3,2.88889,1.0472,0.288181,-0.190414,0,-0.190414,-0.0435042,0,0,0,0
0,1,4,2.88889,1.39626,0.441044,-0.110295,0,-0.110295,-0.104829,0,0,0,0
0,1,5,2.88889,1.74533,0.441044,0.110295,0,0.110295,-0.104829,0,0,0,0
0,1,6,2.88889,2.0944,0.288181,0.190414,0,0.190414,-0.0435042,0,0,0,0
0,1,7,2.88889,2.44346,0.190489,0.126629,0,0.126629,0.0286518,0,0,0,0
0,1,8,2.88889,2.79253,0.139541,0.061534,0,0.061534,0.0748978,0,0,0,0
0,1,9,2.88889,3.14159,0,0,0,0,0,0,0,0,0
0,2,0,3.77778,0,0,0,0,0,0,0,0,0,0
0,2,1,3.77778,0.349066,0.0525243,-0.0128694,0,-0.0128694,0.029568,0,0,0,0
0,2,2,3.77778,0.698132,0.0598857,-0.0211928,0,-0.0211928,0.00903697,0,0,0,0
0,2,3,3.77778,1.0472,0.0695034,-0.0202507,0,-0.0202507,-0.0183082,0,0,0,0
0,2,4,3.77778,1.39626,0.0766234,-0.00844678,0,-0.00844678,-0.038725,0,0,0,0
0,2,5,3.77778,1.74533,0.0766234,0.00844678,0,0.00844678,-0.038725,0,0,0,0
0,2,6,3.77778,2.0944,0.0695034,0.0202507,0,0.0202507,-0.0183082,0,0,0,0
0,2,7,3.77778,2.44346,0.0598857,0.0211928,0,0.0211928,0.00903697,0,0,0,0
0,2,8,3.77778,2.79253,0.0525243,0.0128694,0,0.0128694,0.029568,0,0,0,0
0,2,9,3.77778,3.14159,0,0,0,0,0,0,0,0,0
0,3,0,4.66667,0,0,0,0,0,0,0,0,0,0
0,3,1,4.66667,0.349066,0.025984,-0.00464547,0,-0.00464547,0.0147154,0,0,0,0
